ep-as-svc      5111/tcp
taep-as-svc      5111/udp
pm-cmdsvr        5112/tcp
pm-cmdsvr        5112/udp
ev-services      5114/tcp
autobuild        5115/tcp
emb-proj-cmd     5116/udp
gradecam         5117/tcp
barracuda-bbs    5120/tcp
barracuda-bbs    5120/udp
nbt-pc           5133/tcp
nbt-pc           5133/udp
ppactivation     5134/tcp
erp-scale        5135/tcp
minotaur-sa      5136/udp
ctsd             5137/tcp
ctsd             5137/udp
rmonitor-secure  5145/tcp
rmonitor-secure  5145/udp
social-alarm     5146/tcp
atmp             5150/tcp
atmp             5150/udp
esri-sde         5151/tcp
esri-sde         5151/udp
sde-discovery    5152/tcp
sde-discovery    5152/udp
bzflag           5154/tcp
bzflag           5154/udp
asctrl-agent     5155/tcp
asctrl-agent     5155/udp
rugameonline     5156/tcp
mediat           5157/tcp
snmpssh          5161/tcp
snmpssh-trap     5162/tcp
sbackup          5163/tcp
vpa              5164/tcp
vpa-disc         5164/udp
ife-icorp        5165/tcp
ife-icorp        5165/udp
winpcs           5166/tcp
winpcs           5166/udp
scte104          5167/tcp
scte104          5167/udp
scte30           5168/tcp
scte30           5168/udp
pcoip-mgmt       5172/tcp
aol              5190/tcp
aol              5190/udp
aol-1            5191/tcp
aol-1            5191/udp
aol-2            5192/tcp
aol-2            5192/udp
aol-3            5193/tcp
aol-3            5193/udp
cpscomm          5194/tcp
ampl-lic         5195/tcp
ampl-tableproxy  5196/tcp
tunstall-lwp     5197/tcp
targus-getdata   5200/tcp
targus-getdata   5200/udp
targus-getdata1  5201/tcp
targus-getdata1  5201/udp
targus-getdata2  5202/tcp
targus-getdata2  5202/udp
targus-getdata3  5203/tcp
targus-getdata3  5203/udp
nomad            5209/tcp
noteza           5215/tcp
noteza           5215/sctp
3exmp            5221/tcp
xmpp-client      5222/tcp
hpvirtgrp        5223/tcp
hpvirtgrp        5223/udp
hpvirtctrl       5224/tcp
hpvirtctrl       5224/udp
hp-server        5225/tcp
hp-server        5225/udp
hp-status        5226/tcp
hp-status        5226/udp
perfd            5227/tcp
perfd            5227/udp
hpvroom          5228/tcp
jaxflow          5229/tcp
jaxflow-data     5230/tcp
crusecontrol     5231/tcp
csedaemon        5232/tcp
enfs             5233/tcp
eenet            5234/tcp
eenet            5234/udp
galaxy-network   5235/tcp
galaxy-network   5235/udp
padl2sim         5236/tcp
padl2sim         5236/udp
mnet-discovery   5237/tcp
mnet-discovery   5237/udp
downtools        5245/tcp
downtools-disc   5245/udp
capwap-control   5246/udp
capwap-data      5247/udp
caacws           5248/tcp
caacws           5248/udp
caaclang2        5249/tcp
caaclang2        5249/udp
soagateway       5250/tcp
soagateway       5250/udp
caevms           5251/tcp
caevms           5251/udp
movaz-ssc        5252/tcp
movaz-ssc        5252/udp
kpdp             5253/tcp
logcabin         5254/tcp
3com-njack-1     5264/tcp
3com-njack-1     5264/udp
3com-njack-2     5265/tcp
3com-njack-2     5265/udp
xmpp-server      5269/tcp
cartographerxmp  5270/tcp
cartographerxmp  5270/udp
cuelink          5271/tcp
cuelink-disc     5271/udp
pk               5272/tcp
pk               5272/udp
xmpp-bosh        5280/tcp
undo-lm          5281/tcp
transmit-port    5282/tcp
transmit-port    5282/udp
presence         5298/tcp
presence         5298/udp
nlg-data         5299/tcp
nlg-data         5299/udp
hacl-hb          5300/tcp
hacl-hb          5300/udp
hacl-gs          5301/tcp
hacl-gs          5301/udp
hacl-cfg         5302/tcp
hacl-cfg         5302/udp
hacl-probe       5303/tcp
hacl-probe       5303/udp
hacl-local       5304/tcp
hacl-local       5304/udp
hacl-test        5305/tcp
hacl-test        5305/udp
sun-mc-grp       5306/tcp
sun-mc-grp       5306/udp
sco-aip          5307/tcp
sco-aip          5307/udp
cfengine         5308/tcp
cfengine         5308/udp
jprinter         5309/tcp
jprinter         5309/udp
outlaws          5310/tcp
outlaws          5310/udp
permabit-cs      5312/tcp
permabit-cs      5312/udp
rrdp             5313/tcp
rrdp             5313/udp
opalis-rbt-ipc   5314/tcp
opalis-rbt-ipc   5314/udp
hacl-poll        5315/tcp
hacl-poll        5315/udp
hpbladems        5316/tcp
hpdevms          5317/tcp
pkix-cmc         5318/tcp
bsfserver-zn     5320/tcp
bsfsvr-zn-ssl    5321/tcp
kfserver         5343/tcp
kfserver         5343/udp
xkotodrcp        5344/tcp
xkotodrcp        5344/udp
stuns            5349/tcp
stuns            5349/udp
turns            5349/tcp
turns            5349/udp
stun-behaviors   5349/tcp
pcp-multicast    5350/udp
pcp              5351/udp
dns-llq          5352/tcp
dns-llq          5352/udp
mdns             5353/tcp
mdns             5353/udp
mdnsresponder    5354/tcp
mdnsresponder    5354/udp
llmnr            5355/tcp
llmnr            5355/udp
ms-smlbiz        5356/tcp
ms-smlbiz        5356/udp
wsdapi           5357/tcp
wsdapi           5357/udp
wsdapi-s         5358/tcp
wsdapi-s         5358/udp
ms-alerter       5359/tcp
ms-alerter       5359/udp
ms-sideshow      5360/tcp
ms-sideshow      5360/udp
ms-s-sideshow    5361/tcp
ms-s-sideshow    5361/udp
serverwsd2       5362/tcp
serverwsd2       5362/udp
net-projection   5363/tcp
net-projection   5363/udp
kdnet            5364/udp
stresstester     5397/tcp
stresstester     5397/udp
elektron-admin   5398/tcp
elektron-admin   5398/udp
securitychase    5399/tcp
securitychase    5399/udp
excerpt          5400/tcp
excerpt          5400/udp
excerpts         5401/tcp
excerpts         5401/udp
mftp             5402/tcp
mftp             5402/udp
hpoms-ci-lstn    5403/tcp
hpoms-ci-lstn    5403/udp
hpoms-dps-lstn   5404/tcp
hpoms-dps-lstn   5404/udp
netsupport       5405/tcp
netsupport       5405/udp
systemics-sox    5406/tcp
systemics-sox    5406/udp
foresyte-clear   5407/tcp
foresyte-clear   5407/udp
foresyte-sec     5408/tcp
foresyte-sec     5408/udp
salient-dtasrv   5409/tcp
salient-dtasrv   5409/udp
salient-usrmgr   5410/tcp
salient-usrmgr   5410/udp
actnet           5411/tcp
actnet           5411/udp
continuus        5412/tcp
continuus        5412/udp
wwiotalk         5413/tcp
wwiotalk         5413/udp
statusd          5414/tcp
statusd          5414/udp
ns-server        5415/tcp
ns-server        5415/udp
sns-gateway      5416/tcp
sns-gateway      5416/udp
sns-agent        5417/tcp
sns-agent        5417/udp
mcntp            5418/tcp
mcntp            5418/udp
dj-ice           5419/tcp
dj-ice           5419/udp
cylink-c         5420/tcp
cylink-c         5420/udp
netsupport2      5421/tcp
netsupport2      5421/udp
salient-mux      5422/tcp
salient-mux      5422/udp
virtualuser      5423/tcp
virtualuser      5423/udp
beyond-remote    5424/tcp
